,Location ID,City,City Area,Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,full_location
0,LOC_1,Chennai,Alwarpet,Alwarpet,Naturals Signature Salon Alwarpet,"No.37, 1st Floor, CP Ramaswamy Iyer Rd, opp. to Nilgiris, Alwarpet, Chennai, Tamil Nadu 600018, India",13.0325117,80.2569712,4.6,1103,ChIJB0quoslnUjoRf_vm8BiGHsM,https://www.google.com/maps/place/?q=place_id:ChIJB0quoslnUjoRf_vm8BiGHsM,Chennai AlwarpetNaturals Signature Salon Alwarpet
1,LOC_2,Chennai,Alwarpet,Alwarpet,Naturals Lounge TTK,"No.220, Mowbrays Flats, TT Krishnamachari Rd, next to Dr.Agarwals Eye Hospital, Alwarpet, Chennai, Tamil Nadu 600018, India",13.0436909,80.2594781,4.6,671,ChIJfwi_pjZmUjoRtNJzL20D2-A,https://www.google.com/maps/place/?q=place_id:ChIJfwi_pjZmUjoRtNJzL20D2-A,Chennai AlwarpetNaturals Lounge TTK
2,LOC_3,Chennai,Alwarpet,Alwarpet,Naturals Signature Salon,"No: 24-25, Venkatakrishna Rd, above Spencer's Daily, Perumal Koil Thottam, Ramakrishna Nagar, Mandaveli, Chennai, Tamil Nadu 600028, India",13.0267594,80.26140099999999,4.8,2835,ChIJT8VLUspnUjoRa_HrTUzVpa4,https://www.google.com/maps/place/?q=place_id:ChIJT8VLUspnUjoRa_HrTUzVpa4,Chennai AlwarpetNaturals Signature Salon
3,LOC_4,Chennai,Alwarpet,Alwarpet,Naturals Salon,"27, S Boag Rd, next to SBI, JJ Nagar, T. Nagar, Chennai, Tamil Nadu 600017, India",13.0376194,80.24313049999999,4.7,1748,ChIJW0LWglJmUjoRptyyALN3d1k,https://www.google.com/maps/place/?q=place_id:ChIJW0LWglJmUjoRptyyALN3d1k,Chennai AlwarpetNaturals Salon
4,LOC_5,Chennai,Alwarpet,Alwarpet,Naturals Signature Salon,"29, Dr Nair Rd, above Federal Bank, Pondy Bazaar, T. Nagar, Chennai, Tamil Nadu 600017, India",13.0425811,80.2409689,4.8,2428,ChIJl2F1WxlnUjoRXue7f6nB7h4,https://www.google.com/maps/place/?q=place_id:ChIJl2F1WxlnUjoRXue7f6nB7h4,Chennai AlwarpetNaturals Signature Salon
5,LOC_6,Chennai,Alwarpet,Alwarpet,Naturals Salon,"28/10, Venkataswamy St, opposite Apollo Pharmacy, Pattinapakkam, Santhome, Mylapore, Chennai, Tamil Nadu 600004, India",13.030194,80.275652,4.8,440,ChIJ05jy-4dnUjoR8hWlWTOTQok,https://www.google.com/maps/place/?q=place_id:ChIJ05jy-4dnUjoR8hWlWTOTQok,Chennai AlwarpetNaturals Salon
6,LOC_7,Chennai,Alwarpet,Alwarpet,Naturals Salon,"1st Floor, No 245, Avvai Shanmugam Salai, Ganapathy Colony, Gopalapuram, Chennai, Tamil Nadu 600086, India",13.0488751,80.2600179,4.6,800,ChIJpTzsnDdmUjoRZznlMkDIjkg,https://www.google.com/maps/place/?q=place_id:ChIJpTzsnDdmUjoRZznlMkDIjkg,Chennai AlwarpetNaturals Salon
7,LOC_8,Chennai,Alwarpet,Alwarpet,Naturals Salon,"4th Main Rd, near Thatha Patti Park, above NILGIRIS, Kottur Gardens, Avvai Colony, Kotturpuram, Chennai, Tamil Nadu 600085, India",13.019681,80.2432283,4.6,818,ChIJdwcSyqRnUjoRI3UQJWA9AKU,https://www.google.com/maps/place/?q=place_id:ChIJdwcSyqRnUjoRI3UQJWA9AKU,Chennai AlwarpetNaturals Salon
8,LOC_9,Chennai,Alwarpet,Alwarpet,Naturals Signature Salon,"Shop No:B1, 27 Express Mall, No:2, Club House Road, Anna Salai, Chennai, Tamil Nadu 600002, India",13.0587332,80.2633774,4.7,2514,ChIJdZGLpRdmUjoRpfmePJPrL_I,https://www.google.com/maps/place/?q=place_id:ChIJdZGLpRdmUjoRpfmePJPrL_I,Chennai AlwarpetNaturals Signature Salon
9,LOC_10,Chennai,Alwarpet,Alwarpet,Naturals Salon,"No: 167, 2nd Floor, Yesde House, Valluvar Kottam High Rd, Ponnangipuram, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034, India",13.055884,80.242533,4.8,1209,ChIJhz7w1dpnUjoR0n8CdZ2GIEs,https://www.google.com/maps/place/?q=place_id:ChIJhz7w1dpnUjoR0n8CdZ2GIEs,Chennai AlwarpetNaturals Salon
